run_id,timestamp,topic,status,prompt_tokens,completion_tokens,total_tokens,runtime_seconds,cost_usd,hallucination_rate,readability_score,pdf_pages,error_category
1,2026-06-11T09:14:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,115400,34200,149600,605,1.38,0.001,65.4,38,NONE
2,2026-06-11T10:27:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,122100,36100,158200,580,1.48,0.000,68.2,42,NONE
3,2026-06-11T11:42:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,119800,35500,155300,615,1.45,0.002,67.1,40,NONE
4,2026-06-11T13:05:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,118500,34800,153300,592,1.42,0.001,66.8,39,NONE
5,2026-06-11T14:38:00Z,"Generative AI: VAEs and Diffusion Models",RECOVERED,125300,37200,162500,645,1.52,0.005,68.5,43,RATE_LIMIT
6,2026-06-11T16:15:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,120500,35100,155600,602,1.45,0.000,67.4,41,NONE
7,2026-06-11T17:42:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,121200,35800,157000,610,1.47,0.001,68.0,41,NONE
8,2026-06-11T19:03:00Z,"Generative AI: VAEs and Diffusion Models",RECOVERED,128400,38500,166900,635,1.58,0.003,66.9,44,LATEX_ERROR
9,2026-06-12T08:22:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,117900,34600,152500,588,1.41,0.000,67.7,39,NONE
10,2026-06-12T09:45:00Z,"Generative AI: VAEs and Diffusion Models",RECOVERED,126100,37500,163600,642,1.54,0.008,68.1,42,HALLUCINATION_GATE
11,2026-06-12T11:13:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,119200,35200,154400,598,1.43,0.001,67.3,40,NONE
12,2026-06-12T12:55:00Z,"Generative AI: VAEs and Diffusion Models",FAILED,135000,15000,150000,480,1.25,0.000,0.0,0,CONTEXT_WINDOW_EXCEEDED
13,2026-06-12T14:20:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,120800,35600,156400,612,1.46,0.000,68.4,42,NONE
14,2026-06-12T15:48:00Z,"Generative AI: VAEs and Diffusion Models",SUCCESS,118700,34900,153600,590,1.43,0.002,67.0,40,NONE
15,2026-06-12T17:15:00Z,"Generative AI: VAEs and Diffusion Models",RECOVERED,124500,36800,161300,625,1.51,0.001,67.8,42,RATE_LIMIT
